电影名称：肖申克的救赎   评分：9.7 
电影详情链接: https://movie.douban.com/subject/1292052/
电影名称：霸王别姬   评分：9.6 
电影详情链接: https://movie.douban.com/subject/1291546/
电影名称：泰坦尼克号   评分：9.5 
电影详情链接: https://movie.douban.com/subject/1292722/
电影名称：阿甘正传   评分：9.5 
电影详情链接: https://movie.douban.com/subject/1292720/
电影名称：千与千寻   评分：9.4 
电影详情链接: https://movie.douban.com/subject/1291561/
电影名称：星际穿越   评分：9.4 
电影详情链接: https://movie.douban.com/subject/1889243/
电影名称：美丽人生   评分：9.5 
电影详情链接: https://movie.douban.com/subject/1292063/
电影名称：这个杀手不太冷   评分：9.4 
电影详情链接: https://movie.douban.com/subject/1295644/
电影名称：盗梦空间   评分：9.4 
电影详情链接: https://movie.douban.com/subject/3541415/
电影名称：楚门的世界   评分：9.4 
电影详情链接: https://movie.douban.com/subject/1292064/
电影名称：辛德勒的名单   评分：9.5 
电影详情链接: https://movie.douban.com/subject/1295124/
电影名称：忠犬八公的故事   评分：9.4 
电影详情链接: https://movie.douban.com/subject/3011091/
电影名称：海上钢琴师   评分：9.3 
电影详情链接: https://movie.douban.com/subject/1292001/
电影名称：疯狂动物城   评分：9.3 
电影详情链接: https://movie.douban.com/subject/25662329/
电影名称：三傻大闹宝莱坞   评分：9.2 
电影详情链接: https://movie.douban.com/subject/3793023/
电影名称：机器人总动员   评分：9.3 
电影详情链接: https://movie.douban.com/subject/2131459/
电影名称：放牛班的春天   评分：9.3 
电影详情链接: https://movie.douban.com/subject/1291549/
电影名称：无间道   评分：9.3 
电影详情链接: https://movie.douban.com/subject/1307914/
电影名称：控方证人   评分：9.6 
电影详情链接: https://movie.douban.com/subject/1296141/
电影名称：寻梦环游记   评分：9.1 
电影详情链接: https://movie.douban.com/subject/20495023/
电影名称：大话西游之大圣娶亲   评分：9.2 
电影详情链接: https://movie.douban.com/subject/1292213/
电影名称：熔炉   评分：9.3 
电影详情链接: https://movie.douban.com/subject/5912992/
电影名称：触不可及   评分：9.3 
电影详情链接: https://movie.douban.com/subject/6786002/
电影名称：教父   评分：9.3 
电影详情链接: https://movie.douban.com/subject/1291841/
电影名称：末代皇帝   评分：9.3 
电影详情链接: https://movie.douban.com/subject/1293172/
电影名称：哈利·波特与魔法石   评分：9.2 
电影详情链接: https://movie.douban.com/subject/1295038/
电影名称：当幸福来敲门   评分：9.1 
电影详情链接: https://movie.douban.com/subject/1849031/
电影名称：龙猫   评分：9.2 
电影详情链接: https://movie.douban.com/subject/1291560/
电影名称：活着   评分：9.3 
电影详情链接: https://movie.douban.com/subject/1292365/
电影名称：怦然心动   评分：9.1 
电影详情链接: https://movie.douban.com/subject/3319755/
电影名称：蝙蝠侠：黑暗骑士   评分：9.2 
电影详情链接: https://movie.douban.com/subject/1851857/
电影名称：指环王3：王者无敌   评分：9.3 
电影详情链接: https://movie.douban.com/subject/1291552/
电影名称：我不是药神   评分：9.0 
电影详情链接: https://movie.douban.com/subject/26752088/
电影名称：乱世佳人   评分：9.3 
电影详情链接: https://movie.douban.com/subject/1300267/
电影名称：让子弹飞   评分：9.0 
电影详情链接: https://movie.douban.com/subject/3742360/
电影名称：飞屋环游记   评分：9.1 
电影详情链接: https://movie.douban.com/subject/2129039/
电影名称：哈尔的移动城堡   评分：9.1 
电影详情链接: https://movie.douban.com/subject/1308807/
电影名称：十二怒汉   评分：9.4 
电影详情链接: https://movie.douban.com/subject/1293182/
电影名称：海蒂和爷爷   评分：9.3 
电影详情链接: https://movie.douban.com/subject/25958717/
电影名称：素媛   评分：9.3 
电影详情链接: https://movie.douban.com/subject/21937452/
电影名称：猫鼠游戏   评分：9.1 
电影详情链接: https://movie.douban.com/subject/1305487/
电影名称：天空之城   评分：9.2 
电影详情链接: https://movie.douban.com/subject/1291583/
电影名称：鬼子来了   评分：9.3 
电影详情链接: https://movie.douban.com/subject/1291858/
电影名称：摔跤吧！爸爸   评分：9.0 
电影详情链接: https://movie.douban.com/subject/26387939/
电影名称：少年派的奇幻漂流   评分：9.1 
电影详情链接: https://movie.douban.com/subject/1929463/
电影名称：钢琴家   评分：9.3 
电影详情链接: https://movie.douban.com/subject/1296736/
电影名称：死亡诗社   评分：9.2 
电影详情链接: https://movie.douban.com/subject/1291548/
电影名称：指环王2：双塔奇兵   评分：9.2 
电影详情链接: https://movie.douban.com/subject/1291572/
电影名称：大话西游之月光宝盒   评分：9.0 
电影详情链接: https://movie.douban.com/subject/1299398/
电影名称：绿皮书   评分：8.9 
电影详情链接: https://movie.douban.com/subject/27060077/
电影名称：何以为家   评分：9.1 
电影详情链接: https://movie.douban.com/subject/30170448/
电影名称：闻香识女人   评分：9.1 
电影详情链接: https://movie.douban.com/subject/1298624/
电影名称：大闹天宫   评分：9.4 
电影详情链接: https://movie.douban.com/subject/1418019/
电影名称：黑客帝国   评分：9.1 
电影详情链接: https://movie.douban.com/subject/1291843/
电影名称：指环王1：护戒使者   评分：9.1 
电影详情链接: https://movie.douban.com/subject/1291571/
电影名称：罗马假日   评分：9.1 
电影详情链接: https://movie.douban.com/subject/1293839/
电影名称：教父2   评分：9.3 
电影详情链接: https://movie.douban.com/subject/1299131/
电影名称：狮子王   评分：9.1 
电影详情链接: https://movie.douban.com/subject/1301753/
电影名称：天堂电影院   评分：9.2 
电影详情链接: https://movie.douban.com/subject/1291828/
电影名称：饮食男女   评分：9.2 
电影详情链接: https://movie.douban.com/subject/1291818/
电影名称：辩护人   评分：9.2 
电影详情链接: https://movie.douban.com/subject/21937445/
电影名称：本杰明·巴顿奇事   评分：9.0 
电影详情链接: https://movie.douban.com/subject/1485260/
电影名称：搏击俱乐部   评分：9.0 
电影详情链接: https://movie.douban.com/subject/1292000/
电影名称：美丽心灵   评分：9.1 
电影详情链接: https://movie.douban.com/subject/1306029/
电影名称：穿条纹睡衣的男孩   评分：9.2 
电影详情链接: https://movie.douban.com/subject/3008247/
电影名称：哈利·波特与死亡圣器(下)   评分：9.0 
电影详情链接: https://movie.douban.com/subject/3011235/
电影名称：两杆大烟枪   评分：9.1 
电影详情链接: https://movie.douban.com/subject/1293350/
电影名称：情书   评分：8.9 
电影详情链接: https://movie.douban.com/subject/1292220/
电影名称：功夫   评分：8.9 
电影详情链接: https://movie.douban.com/subject/1291543/
电影名称：窃听风暴   评分：9.2 
电影详情链接: https://movie.douban.com/subject/1900841/
电影名称：音乐之声   评分：9.1 
电影详情链接: https://movie.douban.com/subject/1294408/
电影名称：哈利·波特与阿兹卡班的囚徒   评分：9.0 
电影详情链接: https://movie.douban.com/subject/1291544/
电影名称：阿凡达   评分：8.8 
电影详情链接: https://movie.douban.com/subject/1652587/
电影名称：西西里的美丽传说   评分：8.9 
电影详情链接: https://movie.douban.com/subject/1292402/
电影名称：看不见的客人   评分：8.8 
电影详情链接: https://movie.douban.com/subject/26580232/
电影名称：拯救大兵瑞恩   评分：9.1 
电影详情链接: https://movie.douban.com/subject/1292849/
电影名称：沉默的羔羊   评分：8.9 
电影详情链接: https://movie.douban.com/subject/1293544/
电影名称：小鞋子   评分：9.2 
电影详情链接: https://movie.douban.com/subject/1303021/
电影名称：蝴蝶效应   评分：8.9 
电影详情链接: https://movie.douban.com/subject/1292343/
电影名称：布达佩斯大饭店   评分：8.9 
电影详情链接: https://movie.douban.com/subject/11525673/
电影名称：还有明天   评分：9.3 
电影详情链接: https://movie.douban.com/subject/36445098/
电影名称：飞越疯人院   评分：9.1 
电影详情链接: https://movie.douban.com/subject/1292224/
电影名称：禁闭岛   评分：8.9 
电影详情链接: https://movie.douban.com/subject/2334904/
电影名称：心灵捕手   评分：9.0 
电影详情链接: https://movie.douban.com/subject/1292656/
电影名称：致命魔术   评分：8.9 
电影详情链接: https://movie.douban.com/subject/1780330/
电影名称：低俗小说   评分：8.9 
电影详情链接: https://movie.douban.com/subject/1291832/
电影名称：哈利·波特与密室   评分：8.9 
电影详情链接: https://movie.douban.com/subject/1296996/
