,car_name,cylinders,displacement,horsepower,weight,acceleration,model_year,origin,mpg
0,"chevrolet,chevelle,malibu",8,307.0,130.0,3504,12.0,70,1,18.0
1,"buick,skylark,320",8,350.0,165.0,3693,11.5,70,1,15.0
2,"plymouth,satellite",8,318.0,150.0,3436,11.0,70,1,18.0
3,"amc,rebel,sst",8,304.0,150.0,3433,12.0,70,1,16.0
4,"ford,torino",8,302.0,140.0,3449,10.5,70,1,17.0
5,"ford,galaxie,500",8,429.0,198.0,4341,10.0,70,1,15.0
6,"chevrolet,impala",8,454.0,220.0,4354,9.0,70,1,14.0
7,"plymouth,fury,iii",8,440.0,215.0,4312,8.5,70,1,14.0
8,"pontiac,catalina",8,455.0,225.0,4425,10.0,70,1,14.0
9,"amc,ambassador,dpl",8,390.0,190.0,3850,8.5,70,1,15.0
10,"dodge,challenger,se",8,383.0,170.0,3563,10.0,70,1,15.0
11,"plymouth,'cuda,340",8,340.0,160.0,3609,8.0,70,1,14.0
12,"chevrolet,monte,carlo",8,400.0,150.0,3761,9.5,70,1,15.0
13,"buick,estate,wagon,(sw)",8,455.0,225.0,3086,10.0,70,1,14.0
14,"toyota,corona,mark,ii",4,113.0,95.0,2372,15.0,70,3,24.0
15,"plymouth,duster",6,198.0,95.0,2833,15.5,70,1,22.0
16,"amc,hornet",6,199.0,97.0,2774,15.5,70,1,18.0
17,"ford,maverick",6,200.0,85.0,2587,16.0,70,1,21.0
18,"datsun,pl510",4,97.0,88.0,2130,14.5,70,3,27.0
19,"volkswagen,1131,deluxe,sedan",4,97.0,46.0,1835,20.5,70,2,26.0
20,"peugeot,504",4,110.0,87.0,2672,17.5,70,2,25.0
21,"audi,100,ls",4,107.0,90.0,2430,14.5,70,2,24.0
22,"saab,99e",4,104.0,95.0,2375,17.5,70,2,25.0
23,"bmw,2002",4,121.0,113.0,2234,12.5,70,2,26.0
24,"amc,gremlin",6,199.0,90.0,2648,15.0,70,1,21.0
25,"ford,f250",8,360.0,215.0,4615,14.0,70,1,10.0
26,"chevy,c20",8,307.0,200.0,4376,15.0,70,1,10.0
27,"dodge,d200",8,318.0,210.0,4382,13.5,70,1,11.0
28,"hi,1200d",8,304.0,193.0,4732,18.5,70,1,9.0
29,"datsun,pl510",4,97.0,88.0,2130,14.5,71,3,27.0
30,"chevrolet,vega,2300",4,140.0,90.0,2264,15.5,71,1,28.0
31,"toyota,corona",4,113.0,95.0,2228,14.0,71,3,25.0
32,"ford,pinto",4,98.0,,2046,19.0,71,1,25.0
33,"amc,gremlin",6,232.0,100.0,2634,13.0,71,1,19.0
34,"plymouth,satellite,custom",6,225.0,105.0,3439,15.5,71,1,16.0
35,"chevrolet,chevelle,malibu",6,250.0,100.0,3329,15.5,71,1,17.0
36,"ford,torino,500",6,250.0,88.0,3302,15.5,71,1,19.0
37,"amc,matador",6,232.0,100.0,3288,15.5,71,1,18.0
